STATE/UT,DISTRICT,YEAR,MURDER,RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,ROBBERY,THEFT,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,TOTAL,2010,2538,1362,1362,2053,1531,550,26756,0,41373,181438
ARUNACHAL PRADESH,TOTAL,2010,75,47,47,67,46,69,445,0,622,2439
ASSAM,TOTAL,2010,1223,1721,1716,3250,2767,662,7860,0,22110,61668
BIHAR,TOTAL,2010,3362,795,795,3674,2569,1538,15544,8,56508,127453
CHHATTISGARH,TOTAL,2010,1065,1012,1012,359,279,552,5805,2,23091,54958
CHHATTISGARH,TOTAL,2010,35,36,36,25,18,39,1034,0,927,3293
GOA,TOTAL,2010,16,13,13,29,27,12,524,0,4348,5755
GUJARAT,TOTAL,2010,1048,408,408,1447,1290,1384,16794,0,63788,116439
HARYANA,TOTAL,2010,1005,720,720,963,714,734,16266,0,20060,59120
HIMACHAL PRADESH,TOTAL,2010,132,160,160,194,162,11,838,0,7020,13049
JAMMU & KASHMIR,TOTAL,2010,217,245,245,896,840,61,2510,0,11869,23223
JHARKHAND,TOTAL,2010,1689,773,773,978,696,709,7090,8,13477,38889
KARNATAKA,TOTAL,2010,1805,586,586,1374,586,1949,20093,0,65123,142322
KERALA,TOTAL,2010,363,634,634,261,184,636,4380,0,98668,148313
MADHYA PRADESH,TOTAL,2010,2423,3135,3135,1187,1030,1919,21577,5,107390,214269
MAHARASHTRA,TOTAL,2010,2744,1599,1599,1508,1124,3721,52565,0,49739,208168
MAHARASHTRA,TOTAL,2010,92,34,34,199,107,2,417,0,932,2715
MANIPUR,TOTAL,2010,134,149,149,71,37,67,664,0,666,2505
MEGHALAYA,TOTAL,2010,48,92,92,9,0,16,823,0,355,2174
NAGALAND,TOTAL,2010,45,16,16,50,6,63,397,0,242,1059
ODISHA,TOTAL,2010,1308,1025,1025,1016,912,1491,7572,5,19366,56459
PUNJAB,TOTAL,2010,907,546,546,789,576,241,5446,0,10896,36648
RAJASTHAN,TOTAL,2010,1421,1571,1571,2985,2477,872,22324,0,67221,162957
TAMIL NADU,TOTAL,2010,1875,686,686,1720,1464,1817,14583,0,110733,185678
UTTAR PRADESH,TOTAL,2010,4401,1563,1562,6321,5468,2577,31153,0,61500,174179
UTTARAKHAND,TOTAL,2010,176,121,121,286,249,162,2138,0,2101,9240
WEST BENGAL,TOTAL,2010,2398,2311,2311,3345,2764,798,19389,8,49096,129616
DELHI UT,TOTAL,2010,565,507,507,3208,1740,599,23088,0,14055,51292
